id,to_currency,from_currency,exchange_rate,provider,valid_from
eib_20250101_EUR_USD,USD,EUR,1.086101,European Central Bank,2025-01-01
eib_20250101_USD_EUR,EUR,USD,0.921832,European Central Bank,2025-01-01
eib_20250101_EUR_GBP,GBP,EUR,0.855341,European Central Bank,2025-01-01
eib_20250101_GBP_EUR,EUR,GBP,1.170032,European Central Bank,2025-01-01
eib_20250101_USD_GBP,GBP,USD,1.270234,European Central Bank,2025-01-01
eib_20250101_GBP_USD,USD,GBP,0.787421,European Central Bank,2025-01-01
eib_20250102_EUR_USD,USD,EUR,1.085099,European Central Bank,2025-01-02
eib_20250102_USD_EUR,EUR,USD,0.921575,European Central Bank,2025-01-02
eib_20250102_EUR_GBP,GBP,EUR,0.854946,European Central Bank,2025-01-02
eib_20250102_GBP_EUR,EUR,GBP,1.169664,European Central Bank,2025-01-02
eib_20250102_USD_GBP,GBP,USD,1.269202,European Central Bank,2025-01-02
eib_20250102_GBP_USD,USD,GBP,0.787897,European Central Bank,2025-01-02
eib_20250103_EUR_USD,USD,EUR,1.085072,European Central Bank,2025-01-03
eib_20250103_USD_EUR,EUR,USD,0.921598,European Central Bank,2025-01-03
eib_20250103_EUR_GBP,GBP,EUR,0.855015,European Central Bank,2025-01-03
eib_20250103_GBP_EUR,EUR,GBP,1.16957,European Central Bank,2025-01-03
eib_20250103_USD_GBP,GBP,USD,1.269067,European Central Bank,2025-01-03
eib_20250103_GBP_USD,USD,GBP,0.78798,European Central Bank,2025-01-03
eib_20250104_EUR_USD,USD,EUR,1.085201,European Central Bank,2025-01-04
eib_20250104_USD_EUR,EUR,USD,0.921488,European Central Bank,2025-01-04
eib_20250104_EUR_GBP,GBP,EUR,0.854921,European Central Bank,2025-01-04
eib_20250104_GBP_EUR,EUR,GBP,1.169698,European Central Bank,2025-01-04
eib_20250104_USD_GBP,GBP,USD,1.269358,European Central Bank,2025-01-04
eib_20250104_GBP_USD,USD,GBP,0.7878,European Central Bank,2025-01-04
eib_20250105_EUR_USD,USD,EUR,1.085506,European Central Bank,2025-01-05
eib_20250105_USD_EUR,EUR,USD,0.92123,European Central Bank,2025-01-05
eib_20250105_EUR_GBP,GBP,EUR,0.854784,European Central Bank,2025-01-05
eib_20250105_GBP_EUR,EUR,GBP,1.169886,European Central Bank,2025-01-05
eib_20250105_USD_GBP,GBP,USD,1.269918,European Central Bank,2025-01-05
eib_20250105_GBP_USD,USD,GBP,0.787452,European Central Bank,2025-01-05
eib_20250106_EUR_USD,USD,EUR,1.085459,European Central Bank,2025-01-06
eib_20250106_USD_EUR,EUR,USD,0.921269,European Central Bank,2025-01-06
eib_20250106_EUR_GBP,GBP,EUR,0.854825,European Central Bank,2025-01-06
eib_20250106_GBP_EUR,EUR,GBP,1.16983,European Central Bank,2025-01-06
eib_20250106_USD_GBP,GBP,USD,1.269803,European Central Bank,2025-01-06
eib_20250106_GBP_USD,USD,GBP,0.787524,European Central Bank,2025-01-06
eib_20250107_EUR_USD,USD,EUR,1.085412,European Central Bank,2025-01-07
eib_20250107_USD_EUR,EUR,USD,0.921309,European Central Bank,2025-01-07
eib_20250107_EUR_GBP,GBP,EUR,0.854866,European Central Bank,2025-01-07
eib_20250107_GBP_EUR,EUR,GBP,1.169774,European Central Bank,2025-01-07
eib_20250107_USD_GBP,GBP,USD,1.269687,European Central Bank,2025-01-07
eib_20250107_GBP_USD,USD,GBP,0.787595,European Central Bank,2025-01-07
eib_20250108_EUR_USD,USD,EUR,1.085728,European Central Bank,2025-01-08
eib_20250108_USD_EUR,EUR,USD,0.921041,European Central Bank,2025-01-08
eib_20250108_EUR_GBP,GBP,EUR,0.854781,European Central Bank,2025-01-08
eib_20250108_GBP_EUR,EUR,GBP,1.16989,European Central Bank,2025-01-08
eib_20250108_USD_GBP,GBP,USD,1.270182,European Central Bank,2025-01-08
eib_20250108_GBP_USD,USD,GBP,0.787289,European Central Bank,2025-01-08
eib_20250109_EUR_USD,USD,EUR,1.085882,European Central Bank,2025-01-09
eib_20250109_USD_EUR,EUR,USD,0.920911,European Central Bank,2025-01-09
